vendor,productName,EOL Date,resource,Recommended replacement
Palo Alto,"PA-7000 Series
(PAN-PA-7000-100G-NPC-A,
PAN-PA-7000-LFC-A,
PAN-PA-7000-DPC-A,
PAN-PA-7080-AC-SYS,
PAN-PA-7080-DC-SYS,
PAN-PA-7050-AC-SYS,
PAN-PA-7050-DC-SYS,
PAN-PA-7050-SMC-B,
PAN-PA-7080-SMC-B,
PAN-PA-7050-SMC-B-SYS-UPG,
PAN-PA-7080-SMC-B-SYS-UPG,
PAN-PA-7000-LFC-A-SYS-UPG)",2030-12-31,PA-7000 Series Datasheet,"PA-7500
PA-5450"
Palo Alto,PA-220R,2030-01-31,PA-220R Hardware Reference Guide,PA-400R Series
Palo Alto,PAN-2.5IN-HDD-2TB-PAIR,2028-08-31,PA-5200 Datasheet,PAN-2.5IN-SSD-1.92TB-PAIR
Palo Alto,PAN-QSFP-40GBASE-LM4,2029-05-16,Key Specifications for Palo Alto Networks Interfaces and Transceivers,"PAN-QSFP40G- BASE-LR4
PAN-QSFP40G- BASE-BIDI"
Palo Alto,"PA-800 Series
(PA-820, PA-850)
(PA-820-ZTP, PA-850-ZTP)",2029-08-31,PA-800 Series Hardware Reference,PA-1400 Series
Palo Alto,ION 9000,2029-08-01,ION 9000 Hardware Reference,ION 9200
Palo Alto,ION 3000,2029-08-01,ION 3000 Hardware Reference,ION 3200
Palo Alto,M-200 and M-600,2029-02-15,"M-200 and M-600 Appliance Overview
Panorama Datasheet",M-300 and M-700
Palo Alto,ION 1000,2029-02-01,ION 1000 Hardware Reference,ION 1200
Palo Alto,ION 2000,2029-02-01,ION 2000 Hardware Reference,ION 1200-S
Palo Alto,WF-500,2028-12-31,WildFire Private Cloud Appliance,WF-500-B
Palo Alto,"PA-3200 Series
(PA-3220, PA-3250, PA-3260)
(PA-3220-ZTP, PA-3250-ZTP, PA-3260-ZTP)",2028-08-31,PA-3200 Series Datasheet,PA-3400 Series
Palo Alto,"PA-5200 Series
(PA-5220, PA-5250, PA-5260, PA-5280)",2028-08-31,PA-5200 Series Datasheet,PA-5400 Series
Palo Alto,PA-220,2028-01-31,PA-220 Datasheet,PA-400 Series
Palo Alto,ION 7000,2027-02-01,ION 7000 Hardware Reference Manual,
Palo Alto,"PA-7000-20GXM-NPC
PA-7000-20GQXM-NPC",2026-05-08,"PA-7000 Series
PA-7000 Series Datasheet","PA-7000-100G-NPC-A
PA-7000-DPC-A"
Palo Alto,"PA-7050-SMC
PA-7080-SMC
PA-7000-LPC",2026-02-28,"PA-7000 Series
PA-7000 Series Datasheet","PA-7050-SMC-B
PA-7080-SMC-B
PA-7000-LFC"
Palo Alto,"K2-Series
(PA-5280-K2, PA-7050-K2, PA-7080-K2)",2026-02-28,K2-Series Datasheet,"PA-5445
PA-7500"
Palo Alto,M-500,2025-02-28,"Panorama Overview
Panorama Specsheet","M-300
M-700"
Palo Alto,"PA-3000 Series
(PA-3020, PA-3050, PA-3060)",2024-10-31,PA-3000 Series Overview,PA-3400 Series
Palo Alto,"PA-5000 Series
(PA-5020, PA-5050, PA-5060)",2024-01-31,PA-5000 Series,PA-5400 Series
Palo Alto,"PA-7000-20G-NPC
PA-7000-20GQ-NPC",2024-01-31,"PA-7000 Series
Compare Firewalls","PA-7000-100G-NPC-A
PA-7000-DPC-A"
Palo Alto,PA-200,2023-10-31,PA-200 Overview,PA-400 Series
Palo Alto,PA-500,2023-10-31,"PA-500 Overview
PA-500 Specsheet",PA-400 Series
Palo Alto,M-100,2023-10-31,"Panorama Overview
Panorama Specsheet",M-300
Palo Alto,"PA-2000 Series
(PA-2020, PA-2050)",2020-04-30,"PA-2000 Series Overview
PA-2000 Series Specsheet",PA-1400 Series
Palo Alto,"PA-4000 Series
(PA-4020, PA-4050, PA-4060)",2019-04-30,"PA-4000 Series Overview
PA-4000 Series Specsheet",PA-1400 Series
Palo Alto,GP-100,2021-04-30,"GP-100 Overview
GP-100 Specsheet",
Palo Alto,"LightCyber Magna Detector
(D-300, D-500, D-1000)",2020-12-31,LightCyber Behavioral Analytics Datasheet,
Palo Alto,"LightCyber Magna Probe
(P-50T)",2020-12-31,LightCyber Behavioral Analytics Datasheet,
Palo Alto,LightCyber Magna Master (M-100),2020-12-31,LightCyber Behavioral Analytics Datasheet,
